frameIndex,localTime,globalTime
289,59973.605919294,119937.60544683569
290,59973.639253018,119937.63878055968
291,59973.672570654,119937.67209819568
292,59973.705899541,119937.70542708268
293,59973.73924318,119937.73877072168
294,59973.772580525,119937.77210806668
295,59973.805899915,119937.80542745668
296,59973.839243925,119937.83877146669
297,59973.87255644,119937.87208398168
298,59973.905887284,119937.90541482568
299,59973.939239096,119937.93876663767
300,59973.972560439,119937.97208798068
301,59974.005900781,119938.00542832268
302,59974.039231964,119938.03875950568
303,59974.072554266,119938.07208180768
304,59974.105881115,119938.10540865667
305,59974.139217625,119938.13874516668
306,59974.172539892,119938.17206743368
307,59974.205870611,119938.20539815267
308,59974.239199293,119938.23872683468
309,59974.272531595,119938.27205913668
310,59974.305879988,119938.30540752968
311,59974.339208537,119938.33873607867
312,59974.372526256,119938.37205379768
313,59974.405871647,119938.40539918869
314,59974.439188615,119938.43871615667
315,59974.472521632,119938.47204917368
316,59974.505861099,119938.50538864068
317,59974.539194159,119938.53872170068
318,59974.57252525,119938.57205279169
319,59974.605846384,119938.60537392567
320,59974.639176819,119938.63870436068
321,59974.672514285,119938.67204182668
322,59974.705856679,119938.70538422068
323,59974.739174353,119938.73870189468
324,59974.772502205,119938.77202974667
325,59974.805839254,119938.80536679568
326,59974.839180315,119938.83870785669
327,59974.872506449,119938.87203399069
328,59974.905832466,119938.90536000769
329,59974.939165026,119938.93869256768
330,59974.972502383,119938.97202992468
331,59975.005822637,119939.00535017869
332,59975.039154849,119939.03868239067
333,59975.07249183,119939.07201937167
334,59975.10581596,119939.10534350168
335,59975.1391459,119939.13867344169
336,59975.172489571,119939.17201711268
337,59975.205806677,119939.20533421868
338,59975.239145849,119939.23867339068
339,59975.272480648,119939.27200818967
340,59975.305808241,119939.30533578267
341,59975.339136414,119939.33866395568
342,59975.372480558,119939.37200809969
343,59975.405794525,119939.40532206668
344,59975.439133752,119939.43866129368
345,59975.472463342,119939.47199088367
346,59975.50580132,119939.50532886168
347,59975.539124161,119939.53865170268
348,59975.572452142,119939.57197968368
349,59975.605780149,119939.60530769068
350,59975.639111546,119939.63863908767
351,59975.672448678,119939.67197621969
352,59975.70578135,119939.70530889169
353,59975.739113204,119939.73864074568
354,59975.772453961,119939.77198150268
355,59975.805771439,119939.80529898067
356,59975.839111612,119939.83863915368
357,59975.872446007,119939.87197354868
358,59975.905774639,119939.90530218068
359,59975.939099315,119939.93862685669
360,59975.972434365,119939.97196190667
361,59976.005765418,119940.00529295969
362,59976.039085225,119940.03861276669
363,59976.072427652,119940.07195519368
364,59976.105758002,119940.10528554369
365,59976.13909326,119940.13862080168
366,59976.172428737,119940.17195627867
367,59976.205755662,119940.20528320369
368,59976.239094245,119940.23862178667
369,59976.272415081,119940.27194262268
370,59976.305743625,119940.30527116668
371,59976.339083443,119940.33861098468
372,59976.372417444,119940.37194498567
373,59976.405733512,119940.40526105367
374,59976.439072055,119940.43859959667
