accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,variant,fault,model,data_type,subset_accuracy,hamming_loss,f1_micro
0.9494949494949496,0.4747474747474747,0.5,0.4870466321243523,0.9015406591164168,0.9494949494949496,0.9248966347411944,airpods_acc,good_technique,MLP,airpods_acc,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_gyro,heel_lift,XGBoost,airpods_gyro,,,
0.98989898989899,0.9166666666666669,0.99468085106383,0.9518716577540108,0.9915824915824916,0.98989898989899,0.9903311186733648,airpods_gyro,heel_lift,LightGBM,airpods_gyro,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_gyro,heel_lift,RandomForest,airpods_gyro,,,
0.9494949494949496,0.4747474747474747,0.5,0.4870466321243523,0.9015406591164168,0.9494949494949496,0.9248966347411944,airpods_gyro,heel_lift,MLP,airpods_gyro,,,
0.9595959595959596,0.979591836734694,0.6,0.65625,0.9612451041022468,0.9595959595959596,0.9465488215488216,airpods_gyro,toe_out,XGBoost,airpods_gyro,,,
0.9797979797979798,0.9895833333333331,0.8,0.8697368421052631,0.9802188552188552,0.9797979797979798,0.9773790536948432,airpods_gyro,toe_out,LightGBM,airpods_gyro,,,
0.9595959595959596,0.979591836734694,0.6,0.65625,0.9612451041022468,0.9595959595959596,0.9465488215488216,airpods_gyro,toe_out,RandomForest,airpods_gyro,,,
0.9797979797979798,0.8946808510638298,0.8946808510638298,0.8946808510638298,0.9797979797979798,0.9797979797979798,0.9797979797979798,airpods_gyro,toe_out,MLP,airpods_gyro,,,
0.9797979797979798,0.9895833333333331,0.8,0.8697368421052631,0.9802188552188552,0.9797979797979798,0.9773790536948432,airpods_gyro,toe_in,XGBoost,airpods_gyro,,,
0.98989898989899,0.9947368421052633,0.9,0.9417989417989416,0.9900053163211058,0.98989898989899,0.9893645449201004,airpods_gyro,toe_in,LightGBM,airpods_gyro,,,
0.9797979797979798,0.9895833333333331,0.8,0.8697368421052631,0.9802188552188552,0.9797979797979798,0.9773790536948432,airpods_gyro,toe_in,RandomForest,airpods_gyro,,,
0.9696969696969696,0.9845360824742267,0.7,0.7778608825729245,0.9706341768197438,0.9696969696969696,0.963441445116838,airpods_gyro,toe_in,MLP,airpods_gyro,,,
0.98989898989899,0.994186046511628,0.9642857142857144,0.9785575048732944,0.9900164435048155,0.98989898989899,0.989741469273633,airpods_gyro,weight_shift_to_toes,XGBoost,airpods_gyro,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_gyro,weight_shift_to_toes,LightGBM,airpods_gyro,,,
0.98989898989899,0.994186046511628,0.9642857142857144,0.9785575048732944,0.9900164435048155,0.98989898989899,0.989741469273633,airpods_gyro,weight_shift_to_toes,RandomForest,airpods_gyro,,,
0.8585858585858586,0.4292929292929293,0.5,0.4619565217391304,0.737169676563616,0.8585858585858586,0.7932586736934563,airpods_gyro,weight_shift_to_toes,MLP,airpods_gyro,,,
0.9797979797979798,0.9895833333333331,0.8,0.8697368421052631,0.9802188552188552,0.9797979797979798,0.9773790536948432,airpods_gyro,knee_valgus,XGBoost,airpods_gyro,,,
0.98989898989899,0.9947368421052633,0.9,0.9417989417989416,0.9900053163211058,0.98989898989899,0.9893645449201004,airpods_gyro,knee_valgus,LightGBM,airpods_gyro,,,
0.9696969696969696,0.9845360824742267,0.7,0.7778608825729245,0.9706341768197438,0.9696969696969696,0.963441445116838,airpods_gyro,knee_valgus,RandomForest,airpods_gyro,,,
0.9494949494949496,0.4747474747474747,0.5,0.4870466321243523,0.9015406591164168,0.9494949494949496,0.9248966347411944,airpods_gyro,knee_valgus,MLP,airpods_gyro,,,
0.9696969696969696,0.984375,0.75,0.8253968253968254,0.9706439393939394,0.9696969696969696,0.9648869648869648,airpods_gyro,knee_varus,XGBoost,airpods_gyro,,,
0.9696969696969696,0.984375,0.75,0.8253968253968254,0.9706439393939394,0.9696969696969696,0.9648869648869648,airpods_gyro,knee_varus,LightGBM,airpods_gyro,,,
0.9696969696969696,0.984375,0.75,0.8253968253968254,0.9706439393939394,0.9696969696969696,0.9648869648869648,airpods_gyro,knee_varus,RandomForest,airpods_gyro,,,
0.9393939393939394,0.4696969696969697,0.5,0.484375,0.8824609733700643,0.9393939393939394,0.9100378787878788,airpods_gyro,knee_varus,MLP,airpods_gyro,,,
0.9797979797979798,0.9878048780487804,0.9473684210526316,0.9660493827160492,0.9802907119980292,0.9797979797979798,0.9793615163985534,airpods_gyro,excessive_knee_travel,XGBoost,airpods_gyro,,,
0.9696969696969696,0.9598765432098766,0.9411184210526315,0.950142689273124,0.9693852101259508,0.9696969696969696,0.96938157807723,airpods_gyro,excessive_knee_travel,LightGBM,airpods_gyro,,,
0.9797979797979798,0.9878048780487804,0.9473684210526316,0.9660493827160492,0.9802907119980292,0.9797979797979798,0.9793615163985534,airpods_gyro,excessive_knee_travel,RandomForest,airpods_gyro,,,
0.898989898989899,0.8583333333333334,0.7970394736842106,0.8224533715925395,0.8942760942760942,0.898989898989899,0.8942799588423691,airpods_gyro,excessive_knee_travel,MLP,airpods_gyro,,,
0.9696969696969696,0.9594202898550726,0.9684729064039408,0.963784904279966,0.9702239789196312,0.9696969696969696,0.9698447713323948,airpods_gyro,butt_wink,XGBoost,airpods_gyro,,,
0.98989898989899,0.9929577464788732,0.9827586206896552,0.9876819708846584,0.9900412576468914,0.98989898989899,0.989846203731982,airpods_gyro,butt_wink,LightGBM,airpods_gyro,,,
0.98989898989899,0.9929577464788732,0.9827586206896552,0.9876819708846584,0.9900412576468914,0.98989898989899,0.989846203731982,airpods_gyro,butt_wink,RandomForest,airpods_gyro,,,
0.9797979797979798,0.975615763546798,0.975615763546798,0.975615763546798,0.9797979797979798,0.9797979797979798,0.9797979797979798,airpods_gyro,butt_wink,MLP,airpods_gyro,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_gyro,lumbar_extension,XGBoost,airpods_gyro,,,
0.98989898989899,0.9947368421052633,0.9,0.9417989417989416,0.9900053163211058,0.98989898989899,0.9893645449201004,airpods_gyro,lumbar_extension,LightGBM,airpods_gyro,,,
0.9696969696969696,0.9845360824742267,0.7,0.7778608825729245,0.9706341768197438,0.9696969696969696,0.963441445116838,airpods_gyro,lumbar_extension,RandomForest,airpods_gyro,,,
0.9494949494949496,0.4747474747474747,0.5,0.4870466321243523,0.9015406591164168,0.9494949494949496,0.9248966347411944,airpods_gyro,lumbar_extension,MLP,airpods_gyro,,,
0.9292929292929292,0.9606741573033708,0.7941176470588236,0.8499025341130604,0.9348541595732608,0.9292929292929292,0.921574418650442,airpods_gyro,hip_shift,XGBoost,airpods_gyro,,,
0.9393939393939394,0.9659090909090908,0.8235294117647058,0.8752100840336134,0.943526170798898,0.9393939393939394,0.9339699516170104,airpods_gyro,hip_shift,LightGBM,airpods_gyro,,,
0.9393939393939394,0.9659090909090908,0.8235294117647058,0.8752100840336134,0.943526170798898,0.9393939393939394,0.9339699516170104,airpods_gyro,hip_shift,RandomForest,airpods_gyro,,,
0.8787878787878788,0.7846109839816934,0.8568866571018652,0.8120253164556962,0.9001109493100339,0.8787878787878788,0.8855772919064058,airpods_gyro,hip_shift,MLP,airpods_gyro,,,
0.9292929292929292,0.9265873015873016,0.9217523975588492,0.924054794520548,0.9290925124258458,0.9292929292929292,0.9290914625709148,airpods_gyro,forward_lean,XGBoost,airpods_gyro,,,
0.9595959595959596,0.953205128205128,0.9622929380993898,0.9572907679033648,0.9608132608132608,0.9595959595959596,0.9597964110474896,airpods_gyro,forward_lean,LightGBM,airpods_gyro,,,
0.9494949494949496,0.954524886877828,0.9378814298169136,0.9451036930242874,0.9504684857626036,0.9494949494949496,0.9490244577302356,airpods_gyro,forward_lean,RandomForest,airpods_gyro,,,
0.9393939393939394,0.9352659110723628,0.9352659110723628,0.9352659110723628,0.9393939393939394,0.9393939393939394,0.9393939393939394,airpods_gyro,forward_lean,MLP,airpods_gyro,,,
0.9696969696969696,0.9829545454545454,0.8928571428571428,0.931329479768786,0.9707300275482096,0.9696969696969696,0.9681415309160972,airpods_gyro,chest_collapse,XGBoost,airpods_gyro,,,
0.9797979797979798,0.9885057471264368,0.9285714285714286,0.9557245080500896,0.9802623940554976,0.9797979797979798,0.9791384326268048,airpods_gyro,chest_collapse,LightGBM,airpods_gyro,,,
0.9797979797979798,0.9885057471264368,0.9285714285714286,0.9557245080500896,0.9802623940554976,0.9797979797979798,0.9791384326268048,airpods_gyro,chest_collapse,RandomForest,airpods_gyro,,,
0.9696969696969696,0.9499105545617174,0.9226890756302522,0.935672514619883,0.9691548761316202,0.9696969696969696,0.969224407820899,airpods_gyro,chest_collapse,MLP,airpods_gyro,,,
0.9797979797979798,0.9864864864864864,0.962962962962963,0.9739199157007375,0.9803439803439804,0.9797979797979798,0.9795478494108631,airpods_gyro,shallow_depth,XGBoost,airpods_gyro,,,
0.9696969696969696,0.98,0.9444444444444444,0.9603841536614646,0.9709090909090908,0.9696969696969696,0.9691149186947504,airpods_gyro,shallow_depth,LightGBM,airpods_gyro,,,
0.9797979797979798,0.9864864864864864,0.962962962962963,0.9739199157007375,0.9803439803439804,0.9797979797979798,0.9795478494108631,airpods_gyro,shallow_depth,RandomForest,airpods_gyro,,,
0.9595959595959596,0.9597297297297296,0.9375,0.9478398314014752,0.9596068796068796,0.9595959595959596,0.9590956988217262,airpods_gyro,shallow_depth,MLP,airpods_gyro,,,
0.9494949494949496,0.9734042553191488,0.75,0.819672131147541,0.9521813883516012,0.9494949494949496,0.9417674007837944,airpods_gyro,excessive_depth,XGBoost,airpods_gyro,,,
0.9494949494949496,0.9734042553191488,0.75,0.819672131147541,0.9521813883516012,0.9494949494949496,0.9417674007837944,airpods_gyro,excessive_depth,LightGBM,airpods_gyro,,,
0.9494949494949496,0.9734042553191488,0.75,0.819672131147541,0.9521813883516012,0.9494949494949496,0.9417674007837944,airpods_gyro,excessive_depth,RandomForest,airpods_gyro,,,
0.9292929292929292,0.9635416666666669,0.65,0.7118503118503119,0.9344486531986532,0.9292929292929292,0.9115941115941116,airpods_gyro,excessive_depth,MLP,airpods_gyro,,,
0.9797979797979798,0.9891304347826086,0.8888888888888888,0.9320054945054944,0.9802371541501976,0.9797979797979798,0.9786463536463538,airpods_gyro,weak_bracing,XGBoost,airpods_gyro,,,
